transaction_id,date,product,category,region,customer_type,quantity,unit_price,discount,revenue,cost,profit,payment_method,salesperson
TX00018,2026-05-04,Cotton Polo Shirt,Clothing,North,New,1,1600,0,1600.0,640.0,960.0,Card,Priya Patel
TX00019,2026-06-17,Noise Cancelling Headphones,Electronics,North,Returning,3,14500,0,43500.0,28275.0,15225.0,Cash,Siddharth Rao
TX00020,2026-03-27,Executive Desk,Furniture,West,New,3,28000,5,79800.0,54600.0,25200.0,Card,Priya Patel
TX00021,2026-04-05,Bookshelf Wooden,Furniture,North,New,2,8900,5,16910.0,10324.0,6586.0,UPI,Rahul Sharma
TX00022,2026-03-31,Wireless Earbuds,Electronics,Central,Returning,2,4500,5,8550.0,5400.0,3150.0,UPI,Kavita Reddy
TX00023,2026-03-27,Noise Cancelling Headphones,Electronics,West,Returning,8,14500,0,116000.0,75400.0,40600.0,Card,Siddharth Rao
TX00024,2026-03-21,Mechanical RGB Keyboard,Electronics,North,Returning,7,6200,5,41230.0,25172.0,16058.0,Cash,Rahul Sharma
TX00025,2026-07-23,Mechanical RGB Keyboard,Electronics,North,Returning,2,6200,0,12400.0,7192.0,5208.0,UPI,Kavita Reddy
TX00026,2026-03-08,Pro Runner Shoes,Footwear,North,Returning,2,6500,5,12350.0,6240.0,6110.0,Cash,Priya Patel
TX00027,2026-02-13,Laptop Pro 15,Electronics,Central,Returning,4,68000,0,272000.0,212160.0,59840.0,Card,Neha Singh
TX00028,2026-05-14,Tablet Pro 11,Electronics,North,New,4,38000,0,152000.0,114000.0,38000.0,Card,Kavita Reddy
TX00029,2026-04-15,Pro Runner Shoes,Footwear,West,Returning,8,6500,0,52000.0,24960.0,27040.0,UPI,Rahul Sharma
TX00030,2026-06-29,Tablet Pro 11,Electronics,West,New,4,38000,5,144400.0,114000.0,30400.0,Cash,Amit Kumar
TX00031,2026-02-15,Laptop Sleeve 15,Accessories,North,New,1,1100,8,1012.0,385.0,627.0,UPI,Priya Patel
TX00032,2026-06-26,Monitor Arm Dual Mount,Furniture,East,New,1,4200,5,3990.0,2100.0,1890.0,Card,Ananya Roy
TX00033,2026-04-08,Standing Desk Dual Engine,Furniture,West,New,3,34000,5,96900.0,69360.0,27540.0,Card,Vikas Verma
TX00034,2026-05-29,Windbreaker Hooded,Clothing,Central,Returning,1,3800,5,3610.0,1748.0,1862.0,Net Banking,Priya Patel
TX00035,2026-02-19,Standing Desk Dual Engine,Furniture,East,New,3,34000,12,89760.0,69360.0,20400.0,Cash,Ananya Roy
TX00036,2026-04-14,Portable SSD 2TB,Electronics,South,Returning,5,12500,8,57500.0,43750.0,13750.0,Net Banking,Rahul Sharma
TX00037,2026-07-21,Cotton Polo Shirt,Clothing,Central,New,2,1600,0,3200.0,1280.0,1920.0,Cash,Amit Kumar
TX00038,2026-04-11,Denim Pants Premium,Clothing,East,Returning,4,2900,8,10672.0,4872.0,5800.0,Cash,Kavita Reddy
TX00039,2026-04-06,Tablet Pro 11,Electronics,North,Returning,5,38000,0,190000.0,142500.0,47500.0,UPI,Amit Kumar
TX00040,2026-07-14,Mesh Task Chair,Furniture,North,Returning,7,7500,5,49875.0,31500.0,18375.0,UPI,Amit Kumar
TX00041,2026-06-20,Monitor 27 Ultra,Electronics,West,Returning,3,24000,5,68400.0,50400.0,18000.0,UPI,Ananya Roy
TX00042,2026-02-11,Coffee Maker Deluxe,Home Appliances,North,New,1,12800,5,12160.0,8192.0,3968.0,Card,Siddharth Rao
TX00043,2026-07-09,4K Streaming WebCam,Electronics,Central,New,2,7800,15,13260.0,9672.0,3588.0,Cash,Siddharth Rao
TX00044,2026-02-07,Ergonomic Office Chair,Furniture,West,New,4,14500,10,52200.0,35960.0,16240.0,Cash,Neha Singh
TX00045,2026-04-10,Portable SSD 2TB,Electronics,West,New,1,12500,10,11250.0,8750.0,2500.0,UPI,Kavita Reddy
TX00046,2026-05-01,Cotton Polo Shirt,Clothing,West,Returning,4,1600,,6400.0,2560.0,3840.0,UPI,Ananya Roy
TX00047,2026-04-13,Wireless Earbuds,Electronics,Central,New,4,4500,8,16560.0,10800.0,5760.0,Cash,Ananya Roy
TX00048,2026-02-08,Gaming Mouse 8K,Electronics,West,New,3,3200,0,9600.0,5280.0,4320.0,Card,Ananya Roy
TX00049,2026-04-22,Pro Runner Shoes,Footwear,East,Returning,7,6500,12,40040.0,21840.0,18200.0,UPI,Rahul Sharma
TX00050,2026-05-23,Laptop Pro 15,Electronics,East,Returning,4,68000,5,258400.0,212160.0,46240.0,UPI,Ananya Roy
TX00051,2026-07-10,Windbreaker Hooded,Clothing,West,New,3,3800,5,10830.0,5244.0,5586.0,Card,Ananya Roy
TX00052,2026-05-15,Denim Pants Premium,Clothing,East,New,4,2900,8,10672.0,4872.0,5800.0,Net Banking,Vikas Verma
TX00053,2026-05-15,Laptop Pro 15,Electronics,South,New,3,68000,5,193800.0,159120.0,34680.0,UPI,Neha Singh
TX00054,2026-06-11,Travel Backpack 30L,Accessories,West,Returning,3,3500,8,9660.0,4725.0,4935.0,UPI,Ananya Roy
TX00055,2026-02-24,Monitor Arm Dual Mount,Furniture,West,New,2,4200,0,8400.0,4200.0,4200.0,UPI,Kavita Reddy
TX00056,2026-07-07,Wireless Earbuds,Electronics,South,Returning,4,4500,8,16560.0,10800.0,5760.0,UPI,Siddharth Rao
TX00057,2026-04-04,4K Streaming WebCam,Electronics,West,New,1,7800,10,7020.0,4836.0,2184.0,UPI,Kavita Reddy
TX00058,2026-02-13,Monitor Arm Dual Mount,Furniture,Central,New,2,4200,10,7560.0,4200.0,3360.0,Card,Ananya Roy
TX00059,2026-05-25,Laptop Sleeve 15,Accessories,South,Returning,8,1100,12,7744.0,3080.0,4664.0,Card,Kavita Reddy
TX00060,2026-05-27,Mesh Task Chair,Furniture,West,Returning,5,7500,10,33750.0,22500.0,11250.0,Card,Neha Singh
TX00061,2026-04-12,Casual Leather Loafers,Footwear,North,New,3,4200,0,12600.0,6300.0,6300.0,Cash,Priya Patel
TX00062,2026-03-08,4K Streaming WebCam,Electronics,North,Returning,4,7800,0,31200.0,19344.0,11856.0,UPI,Kavita Reddy
TX00063,2026-05-18,Tablet Pro 11,Electronics,North,Returning,1,38000,10,34200.0,28500.0,5700.0,Card,Siddharth Rao
TX00064,2026-06-03,Laptop Pro 15,Electronics,Central,New,4,68000,10,244800.0,212160.0,32640.0,Net Banking,Siddharth Rao
TX00065,2026-06-18,Bookshelf Wooden,Furniture,East,New,4,8900,0,35600.0,20648.0,14952.0,UPI,Siddharth Rao
TX00066,2026-03-15,Trail Hiking Boots,Footwear,Central,Returning,1,8400,12,7392.0,4368.0,3024.0,Card,Rahul Sharma
TX00067,2026-02-22,Pro Runner Shoes,Footwear,North,Returning,1,6500,0,6500.0,3120.0,3380.0,UPI,Kavita Reddy
TX00068,2026-04-25,Formal Suit Blazer,Clothing,West,New,4,11500,0,46000.0,25300.0,20700.0,UPI,Rahul Sharma
TX00069,2026-06-19,Tablet Pro 11,Electronics,Central,New,1,38000,10,34200.0,28500.0,5700.0,Card,Rahul Sharma
TX00070,2026-04-05,Executive Desk,Furniture,West,Returning,4,28000,0,112000.0,72800.0,39200.0,Card,Neha Singh
TX00071,2026-05-31,Mesh Task Chair,Furniture,West,New,1,7500,10,6750.0,4500.0,2250.0,UPI,Vikas Verma
TX00072,2026-02-28,Smartphone X,Electronics,Central,Returning,7,42000,5,279300.0,211680.0,67620.0,Card,Priya Patel
TX00073,2026-07-02,Monitor Arm Dual Mount,Furniture,North,Returning,2,4200,10,7560.0,4200.0,3360.0,Card,Rahul Sharma
TX00074,2026-04-30,Pro Runner Shoes,Footwear,West,New,3,6500,0,19500.0,9360.0,10140.0,UPI,Kavita Reddy
TX00075,2026-02-28,Pro Runner Shoes,Footwear,Central,Returning,8,6500,8,47840.0,24960.0,22880.0,UPI,Vikas Verma
TX00076,2026-07-08,Travel Backpack 30L,Accessories,South,Returning,5,3500,0,17500.0,7875.0,9625.0,UPI,Priya Patel
TX00077,2026-04-13,Casual Leather Loafers,Footwear,North,Returning,7,4200,0,29400.0,14700.0,14700.0,Card,Ananya Roy
TX00078,2026-03-19,Leather Slim Wallet,Accessories,North,Returning,6,1400,0,8400.0,3192.0,5208.0,Card,Vikas Verma
TX00079,2026-06-23,Laptop Pro 15,Electronics,East,New,2,68000,8,125120.0,106080.0,19040.0,Card,Neha Singh
TX00080,2026-07-27,Travel Backpack 30L,Accessories,East,Returning,1,3500,0,3500.0,1575.0,1925.0,UPI,Neha Singh
TX00081,2026-04-20,Air Purifier Pro,Home Appliances,East,Returning,7,16500,20,92400.0,76230.0,16170.0,Card,Ananya Roy
TX00082,2026-07-30,Trail Hiking Boots,Footwear,South,New,1,8400,8,7728.0,4368.0,3360.0,UPI,Amit Kumar
TX00083,2026-03-22,Standing Desk Dual Engine,Furniture,West,New,3,34000,20,81600.0,69360.0,12240.0,Cash,Vikas Verma
TX00084,2026-03-31,Air Purifier Pro,Home Appliances,North,New,2,16500,0,33000.0,21780.0,11220.0,Net Banking,Vikas Verma
TX00085,2026-07-29,Noise Cancelling Headphones,Electronics,East,Returning,2,14500,12,25520.0,18850.0,6670.0,Card,Kavita Reddy
TX00086,2026-06-03,Casual Leather Loafers,Footwear,South,Returning,5,4200,12,18480.0,10500.0,7980.0,Card,Priya Patel
TX00087,2026-05-14,Leather Slim Wallet,Accessories,North,Returning,1,1400,0,1400.0,532.0,868.0,Cash,Vikas Verma
TX00088,2026-02-22,Monitor Arm Dual Mount,Furniture,North,Returning,4,4200,10,15120.0,8400.0,6720.0,UPI,Kavita Reddy
TX00089,2026-04-18,Pro Runner Shoes,Footwear,South,Returning,2,6500,12,11440.0,6240.0,5200.0,UPI,Neha Singh
TX00090,2026-04-09,Smart Watch Series 7,Electronics,North,New,1,18500,0,18500.0,12580.0,5920.0,UPI,Kavita Reddy
TX00091,2026-04-16,Monitor 27 Ultra,Electronics,North,Returning,8,24000,0,192000.0,134400.0,57600.0,UPI,Vikas Verma
TX00092,2026-07-11,Executive Desk,Furniture,South,Returning,3,28000,12,73920.0,54600.0,19320.0,Cash,Priya Patel
TX00093,2026-02-16,Portable SSD 2TB,Electronics,West,Returning,5,12500,5,59375.0,43750.0,15625.0,Card,Vikas Verma
TX00094,2026-07-30,Electric Kettle Stainless,Home Appliances,Central,Returning,8,2400,5,18240.0,9984.0,8256.0,Card,Siddharth Rao
TX00095,2026-04-24,Mesh Task Chair,Furniture,North,New,1,7500,20,6000.0,4500.0,1500.0,Card,Vikas Verma
TX00096,2026-06-28,Monitor 27 Ultra,Electronics,West,New,4,24000,12,84480.0,67200.0,17280.0,UPI,Siddharth Rao
TX00097,2026-07-13,Leather Slim Wallet,Accessories,Central,Returning,7,1400,0,9800.0,3724.0,6076.0,Card,Amit Kumar
TX00098,2026-04-26,Smart Blender 1200W,Home Appliances,West,New,4,6800,10,24480.0,15776.0,8704.0,Card,Kavita Reddy
TX00099,2026-02-23,Windbreaker Hooded,Clothing,South,New,4,3800,10,13680.0,6992.0,6688.0,Cash,Rahul Sharma
TX00100,2026-07-19,Trail Hiking Boots,Footwear,South,New,3,8400,8,23184.0,13104.0,10080.0,Card,Kavita Reddy
TX00101,2026-02-14,Standing Desk Dual Engine,Furniture,South,New,3,34000,5,96900.0,69360.0,27540.0,Card,Priya Patel
TX00102,2026-02-08,Monitor Arm Dual Mount,Furniture,West,New,1,4200,5,3990.0,2100.0,1890.0,UPI,Priya Patel
TX00103,2026-05-30,Gaming Mouse 8K,Electronics,East,New,3,3200,5,9120.0,5280.0,3840.0,UPI,Kavita Reddy
TX00104,2026-06-01,Monitor Arm Dual Mount,Furniture,South,New,2,4200,12,7392.0,4200.0,3192.0,Card,Amit Kumar
TX00105,2026-02-18,Running Jacket Pro,Clothing,West,Returning,6,4800,12,25344.0,12960.0,12384.0,Card,Rahul Sharma
TX00106,2026-04-14,Cotton Polo Shirt,Clothing,West,Returning,8,1600,10,11520.0,5120.0,6400.0,UPI,Kavita Reddy
TX00107,2026-04-30,Formal Suit Blazer,Clothing,East,Returning,8,11500,12,80960.0,50600.0,30360.0,Cash,Neha Singh
TX00108,2026-06-27,Robotic Vacuum X,Home Appliances,North,Returning,1,26000,0,26000.0,18200.0,7800.0,Card,Siddharth Rao
TX00109,2026-05-10,4K Streaming WebCam,Electronics,East,New,3,7800,10,21060.0,14508.0,6552.0,Cash,Kavita Reddy
TX00110,2026-02-26,MagSafe Power Bank,Accessories,Central,New,2,3200,5,6080.0,3328.0,2752.0,Card,Amit Kumar
TX00111,2026-02-20,Travel Backpack 30L,Accessories,West,New,4,3500,8,12880.0,6300.0,6580.0,Cash,Siddharth Rao
TX00112,2026-04-23,Leather Slim Wallet,Accessories,West,New,1,1400,0,1400.0,532.0,868.0,Card,Vikas Verma
TX00113,2026-03-31,Smart Watch Series 7,Electronics,South,New,1,18500,5,17575.0,12580.0,4995.0,Card,Rahul Sharma
TX00114,2026-02-12,Windbreaker Hooded,Clothing,West,New,3,3800,5,10830.0,5244.0,5586.0,UPI,Siddharth Rao
TX00115,2026-06-25,Ergonomic Office Chair,Furniture,North,New,4,14500,8,53360.0,35960.0,17400.0,UPI,Amit Kumar
TX00116,2026-04-01,Trail Hiking Boots,Footwear,East,Returning,1,8400,12,7392.0,4368.0,3024.0,Card,Vikas Verma
TX00117,2026-07-24,Portable SSD 2TB,Electronics,North,Returning,5,12500,8,57500.0,43750.0,13750.0,UPI,Vikas Verma
TX00118,2026-05-28,Cotton Polo Shirt,Clothing,North,New,4,1600,0,6400.0,2560.0,3840.0,UPI,Ananya Roy
TX00119,2026-06-28,Denim Pants Premium,Clothing,Central,New,4,2900,0,11600.0,4872.0,6728.0,Card,Rahul Sharma
TX00120,2026-07-06,Leather Slim Wallet,Accessories,West,Returning,4,1400,8,5152.0,2128.0,3024.0,UPI,Neha Singh
TX00121,2026-07-09,Mesh Task Chair,Furniture,West,Returning,3,7500,8,20700.0,13500.0,7200.0,Net Banking,Rahul Sharma
TX00122,2026-04-21,Casual Leather Loafers,Footwear,North,New,2,4200,0,8400.0,4200.0,4200.0,UPI,Siddharth Rao
TX00123,2026-03-17,Executive Desk,Furniture,North,Returning,6,28000,5,159600.0,109200.0,50400.0,Net Banking,Amit Kumar
TX00124,2026-04-07,Travel Backpack 30L,Accessories,Central,New,3,3500,10,9450.0,4725.0,4725.0,Card,Priya Patel
TX00125,2026-03-09,Bookshelf Wooden,Furniture,West,Returning,7,8900,15,52955.0,36134.0,16821.0,Cash,Ananya Roy
TX00126,2026-02-24,Electric Kettle Stainless,Home Appliances,North,Returning,8,2400,5,18240.0,9984.0,8256.0,Card,Vikas Verma
TX00127,2026-06-30,Robotic Vacuum X,Home Appliances,West,Returning,2,26000,8,47840.0,36400.0,11440.0,Card,Ananya Roy
TX00128,2026-07-07,Bookshelf Wooden,Furniture,East,Returning,8,8900,12,62656.0,41296.0,21360.0,UPI,Siddharth Rao
TX00129,2026-03-02,Noise Cancelling Headphones,Electronics,North,New,4,14500,,58000.0,37700.0,20300.0,UPI,Amit Kumar
TX00130,2026-05-11,Trail Hiking Boots,Footwear,South,Returning,7,8400,5,55860.0,30576.0,25284.0,Card,Siddharth Rao
TX00131,2026-07-18,Mechanical RGB Keyboard,Electronics,West,Returning,5,6200,0,31000.0,17980.0,13020.0,UPI,Kavita Reddy
TX00132,2026-05-25,Monitor Arm Dual Mount,Furniture,West,New,3,4200,5,11970.0,6300.0,5670.0,Net Banking,Ananya Roy
TX00133,2026-02-16,Electric Kettle Stainless,Home Appliances,South,Returning,8,2400,0,19200.0,9984.0,9216.0,UPI,Rahul Sharma
TX00134,2026-02-13,Formal Suit Blazer,Clothing,North,New,2,11500,0,23000.0,12650.0,10350.0,Card,Neha Singh
TX00135,2026-07-01,Standing Desk Dual Engine,Furniture,West,New,2,34000,10,61200.0,46240.0,14960.0,Card,Vikas Verma
TX00136,2026-03-10,Noise Cancelling Headphones,Electronics,East,Returning,2,14500,8,26680.0,18850.0,7830.0,UPI,Rahul Sharma
TX00137,2026-05-03,Monitor Arm Dual Mount,Furniture,East,New,3,4200,0,12600.0,6300.0,6300.0,Card,Priya Patel
TX00138,2026-02-17,Travel Backpack 30L,Accessories,South,New,1,3500,5,3325.0,1575.0,1750.0,UPI,Rahul Sharma
TX00139,2026-07-19,MagSafe Power Bank,Accessories,South,Returning,1,3200,0,3200.0,1664.0,1536.0,Card,Siddharth Rao
TX00140,2026-05-21,Mechanical RGB Keyboard,Electronics,East,Returning,2,6200,12,10912.0,7192.0,3720.0,UPI,Amit Kumar
TX00141,2026-02-17,Noise Cancelling Headphones,Electronics,South,Returning,6,14500,5,82650.0,56550.0,26100.0,Card,Vikas Verma
TX00142,2026-05-28,Laptop Sleeve 15,Accessories,East,New,1,1100,10,990.0,385.0,605.0,Card,Neha Singh
TX00143,2026-05-22,Casual Leather Loafers,Footwear,Central,New,4,4200,5,15960.0,8400.0,7560.0,Card,Ananya Roy
TX00144,2026-05-21,Windbreaker Hooded,Clothing,West,New,2,3800,8,6992.0,3496.0,3496.0,Card,Priya Patel
TX00145,2026-02-22,Smart Watch Series 7,Electronics,South,Returning,6,18500,10,99900.0,75480.0,24420.0,Card,Ananya Roy
TX00146,2026-07-22,Gaming Mouse 8K,Electronics,South,Returning,7,3200,10,20160.0,12320.0,7840.0,Card,Vikas Verma
TX00147,2026-07-04,Cotton Polo Shirt,Clothing,South,Returning,4,1600,0,6400.0,2560.0,3840.0,Card,Priya Patel
TX00148,2026-05-01,Air Purifier Pro,Home Appliances,North,New,2,16500,10,29700.0,21780.0,7920.0,Cash,Rahul Sharma
TX00149,2026-07-06,Running Jacket Pro,Clothing,North,New,3,4800,12,12672.0,6480.0,6192.0,UPI,Amit Kumar
TX00150,2026-03-09,Electric Kettle Stainless,Home Appliances,North,Returning,1,2400,0,2400.0,1248.0,1152.0,Card,Siddharth Rao
TX00151,2026-05-19,Trail Hiking Boots,Footwear,South,New,3,8400,10,22680.0,13104.0,9576.0,Card,Priya Patel
TX00152,2026-02-14,4K Streaming WebCam,Electronics,North,Returning,2,7800,0,15600.0,9672.0,5928.0,Card,Kavita Reddy
TX00153,2026-07-06,Casual Leather Loafers,Footwear,South,New,1,4200,0,4200.0,2100.0,2100.0,UPI,Kavita Reddy
TX00154,2026-06-15,Cotton Polo Shirt,Clothing,North,New,1,1600,0,1600.0,640.0,960.0,UPI,Neha Singh
TX00155,2026-03-08,Mesh Task Chair,Furniture,South,New,4,7500,8,27600.0,18000.0,9600.0,UPI,Siddharth Rao
TX00156,2026-06-17,Bookshelf Wooden,Furniture,East,Returning,6,8900,0,53400.0,30972.0,22428.0,Cash,Rahul Sharma
TX00157,2026-05-23,Smartphone X,Electronics,South,New,3,42000,5,119700.0,90720.0,28980.0,Card,Siddharth Rao
TX00158,2026-04-16,Gaming Mouse 8K,Electronics,South,Returning,3,3200,10,8640.0,5280.0,3360.0,Card,Ananya Roy
TX00159,2026-02-23,Pro Runner Shoes,Footwear,West,New,4,6500,5,24700.0,12480.0,12220.0,UPI,Vikas Verma
TX00160,2026-04-28,Bookshelf Wooden,Furniture,South,New,1,8900,5,8455.0,5162.0,3293.0,UPI,Ananya Roy
TX00161,2026-05-01,4K Streaming WebCam,Electronics,North,New,2,7800,0,15600.0,9672.0,5928.0,UPI,Priya Patel
TX00162,2026-03-18,Leather Slim Wallet,Accessories,South,Returning,8,1400,8,10304.0,4256.0,6048.0,Cash,Ananya Roy
TX00163,2026-07-11,Windbreaker Hooded,Clothing,North,New,4,3800,8,13984.0,6992.0,6992.0,Card,Rahul Sharma
TX00164,2026-05-02,Laptop Sleeve 15,Accessories,North,Returning,1,1100,0,1100.0,385.0,715.0,Cash,Priya Patel
TX00165,2026-07-16,Smart Watch Series 7,Electronics,East,Returning,8,18500,5,140600.0,100640.0,39960.0,Net Banking,Rahul Sharma
TX00166,2026-05-27,Executive Desk,Furniture,South,Returning,3,28000,15,71400.0,54600.0,16800.0,Card,Ananya Roy
TX00167,2026-02-22,Laptop Sleeve 15,Accessories,East,New,4,1100,20,3520.0,1540.0,1980.0,Card,Amit Kumar
TX00168,2026-05-05,Air Purifier Pro,Home Appliances,Central,New,3,16500,8,45540.0,32670.0,12870.0,UPI,Ananya Roy
TX00169,2026-02-17,Formal Suit Blazer,Clothing,North,Returning,5,11500,0,57500.0,31625.0,25875.0,Cash,Amit Kumar
TX00170,2026-04-27,Smart Watch Series 7,Electronics,East,New,3,18500,0,55500.0,37740.0,17760.0,Card,Siddharth Rao
TX00171,2026-03-06,Smart Watch Series 7,Electronics,South,New,3,18500,10,49950.0,37740.0,12210.0,Card,Priya Patel
TX00172,2026-07-16,Pro Runner Shoes,Footwear,East,New,3,6500,0,19500.0,9360.0,10140.0,UPI,Kavita Reddy
TX00173,2026-03-22,Bookshelf Wooden,Furniture,Central,New,3,8900,10,24030.0,15486.0,8544.0,UPI,Rahul Sharma
TX00174,2026-07-20,Formal Suit Blazer,Clothing,West,Returning,7,11500,0,80500.0,44275.0,36225.0,UPI,Amit Kumar
TX00175,2026-05-24,Monitor 27 Ultra,Electronics,South,Returning,4,24000,15,81600.0,67200.0,14400.0,Card,Kavita Reddy
TX00176,2026-04-01,Monitor Arm Dual Mount,Furniture,South,Returning,8,4200,12,29568.0,16800.0,12768.0,UPI,Kavita Reddy
TX00177,2026-05-30,Denim Pants Premium,Clothing,West,Returning,7,2900,15,17255.0,8526.0,8729.0,Cash,Amit Kumar
TX00178,2026-04-06,Tablet Pro 11,Electronics,East,Returning,2,38000,8,69920.0,57000.0,12920.0,Card,Priya Patel
TX00179,2026-04-14,Smart Watch Series 7,Electronics,West,New,2,18500,10,33300.0,25160.0,8140.0,UPI,Neha Singh
TX00180,2026-05-27,Coffee Maker Deluxe,Home Appliances,Central,New,4,12800,5,48640.0,32768.0,15872.0,UPI,Priya Patel
TX00181,2026-05-07,Bookshelf Wooden,Furniture,North,Returning,6,8900,10,48060.0,30972.0,17088.0,UPI,Vikas Verma
TX00182,2026-06-01,Noise Cancelling Headphones,Electronics,West,Returning,1,14500,12,12760.0,9425.0,3335.0,UPI,Neha Singh
TX00183,2026-03-11,MagSafe Power Bank,Accessories,South,Returning,4,3200,0,12800.0,6656.0,6144.0,UPI,Siddharth Rao
TX00184,2026-07-14,Trail Hiking Boots,Footwear,North,Returning,8,8400,5,63840.0,34944.0,28896.0,UPI,Neha Singh
TX00185,2026-03-09,Denim Pants Premium,Clothing,South,Returning,4,2900,5,11020.0,4872.0,6148.0,UPI,Priya Patel
TX00186,2026-06-15,Air Purifier Pro,Home Appliances,North,Returning,1,16500,5,15675.0,10890.0,4785.0,Card,Siddharth Rao
TX00187,2026-05-07,Mesh Task Chair,Furniture,West,New,1,7500,0,7500.0,4500.0,3000.0,Card,Priya Patel
TX00188,2026-06-29,Formal Suit Blazer,Clothing,North,New,3,11500,10,31050.0,18975.0,12075.0,UPI,Kavita Reddy
TX00189,2026-07-29,Travel Backpack 30L,Accessories,East,Returning,2,3500,8,6440.0,3150.0,3290.0,Net Banking,Rahul Sharma
TX00190,2026-04-17,Executive Desk,Furniture,North,New,1,28000,0,28000.0,18200.0,9800.0,UPI,Siddharth Rao
TX00191,2026-06-20,Travel Backpack 30L,Accessories,South,Returning,4,3500,0,14000.0,6300.0,7700.0,Cash,Rahul Sharma
TX00192,2026-07-18,Formal Suit Blazer,Clothing,South,Returning,7,11500,12,70840.0,44275.0,26565.0,Card,Siddharth Rao
TX00193,2026-04-28,Ergonomic Office Chair,Furniture,East,Returning,5,14500,10,65250.0,44950.0,20300.0,Card,Priya Patel
TX00194,2026-05-22,Ergonomic Office Chair,Furniture,East,New,1,14500,0,14500.0,8990.0,5510.0,UPI,Kavita Reddy
TX00195,2026-07-05,Pro Runner Shoes,Footwear,North,Returning,8,6500,0,52000.0,24960.0,27040.0,Cash,Ananya Roy
TX00196,2026-07-08,Pro Runner Shoes,Footwear,South,Returning,1,6500,0,6500.0,3120.0,3380.0,Card,Ananya Roy
TX00197,2026-06-12,Portable SSD 2TB,Electronics,Central,New,4,12500,0,50000.0,35000.0,15000.0,UPI,Ananya Roy
TX00198,2026-05-04,Robotic Vacuum X,Home Appliances,Central,New,2,26000,8,47840.0,36400.0,11440.0,Net Banking,Ananya Roy
TX00199,2026-05-25,Wireless Earbuds,Electronics,East,Returning,7,4500,0,31500.0,18900.0,12600.0,UPI,Priya Patel
TX00200,2026-02-07,Ergonomic Office Chair,Furniture,East,New,1,14500,0,14500.0,8990.0,5510.0,UPI,Kavita Reddy
TX00201,2026-03-27,Denim Pants Premium,Clothing,West,Returning,4,2900,0,11600.0,4872.0,6728.0,Cash,Kavita Reddy
TX00202,2026-03-17,Casual Leather Loafers,Footwear,Central,Returning,6,4200,8,23184.0,12600.0,10584.0,Card,Vikas Verma
TX00203,2026-04-18,Portable SSD 2TB,Electronics,West,Returning,3,12500,10,33750.0,26250.0,7500.0,Card,Priya Patel
TX00204,2026-03-24,Noise Cancelling Headphones,Electronics,North,Returning,6,14500,5,82650.0,56550.0,26100.0,UPI,Amit Kumar
TX00205,2026-07-07,Smart Watch Series 7,Electronics,North,New,4,18500,5,70300.0,50320.0,19980.0,Card,Priya Patel
TX00206,2026-03-05,Windbreaker Hooded,Clothing,East,Returning,6,3800,0,22800.0,10488.0,12312.0,Cash,Amit Kumar
